ADBE,ADBE,ADBE,ADBE,ADBE
421.70001220703125,423.9700012207031,415.6600036621094,417.2799987792969,4345800
418.2099914550781,428.8900146484375,418.0,426.92999267578125,4185600
434.3500061035156,435.989990234375,425.70001220703125,429.989990234375,4012700
433.260009765625,439.9800109863281,431.5,436.3599853515625,3833300
438.0,439.7300109863281,433.42999267578125,437.32000732421875,3391600
435.8800048828125,437.7300109863281,432.489990234375,437.2799987792969,2716700
437.2799987792969,441.8800048828125,434.7300109863281,435.3800048828125,2631800
430.2300109863281,445.45001220703125,430.1199951171875,438.6000061035156,5086300
436.2699890136719,445.80999755859375,431.6400146484375,442.8399963378906,5376400
439.9200134277344,444.3599853515625,438.8299865722656,441.67999267578125,2997600
439.6700134277344,448.4200134277344,439.2300109863281,446.0,3290100
