AAPL,AAPL,AAPL,AAPL,AAPL
Open,High,Low,Close,Volume
223.20762199269615,223.62613445935494,218.6039696546368,221.85243225097656,98070400
219.01252087308487,223.3272060060417,219.01252087308487,223.03823852539062,64126500
223.94503224654224,226.2269251350915,221.51366083038826,222.8688507080078,60234800
223.9848686181573,224.831867935065,220.6267944226493,221.991943359375,54697900
223.2275672861503,231.32879829775732,223.18770026542342,229.04690551757812,94863400
230.03339893004483,239.34035603116672,229.99353191106584,237.41717529296875,75707600
233.29182086679862,239.01152170916106,233.18220937175082,238.51329040527344,45486100
237.82573898228924,239.93823493591583,236.37091202718113,236.7495574951172,55658300
246.31561143302469,246.31561143302469,232.61424963135997,235.16519165039062,100959800
229.17643705581955,231.00992457632861,224.90160402054906,227.20343017578125,73063300
226.44614576626617,232.3053512351318,225.84826207175638,231.9765167236328,45067300
227.72160926815613,231.84696405052938,227.46253445166022,231.64767456054688,39620300
230.47183871784506,232.9729696905443,229.61488023403817,232.39501953125,29925300
231.7772347780746,233.17227650429416,226.4561122970612,226.82481384277344,39707200
229.0094413336025,230.02693972945139,226.64521806905947,227.0941162109375,33115600
227.64278121837336,234.65561423976854,227.57296005864194,232.05198669433594,53718400
230.63545743654387,236.38140252594314,230.11672290007743,236.29161071777344,45243300
236.33151730066413,241.74825103145727,234.99479296308533,240.9402313232422,53614100
240.66092045804314,244.9504238462646,240.40156080072015,244.00274658203125,40896200
243.55383619329416,244.58131995427482,241.2494791133952,243.87306213378906,48822500
244.06260076305156,245.40929524371262,242.56626341463,244.27207946777344,32204200
244.34192533458386,246.17742890005937,243.69350332551406,245.22975158691406,32316900
245.34944139409683,248.08275639920348,244.6212281548445,244.95042419433594,53197400
244.3319283268952,248.25234005966587,243.82317911276243,246.49664306640625,51326400
247.3944454522674,249.38956194785018,244.3119941197594,246.43678283691406,48013300
243.7334092806253,244.3818160551289,238.54610942000366,239.77310180664062,44433600
238.82541422357912,241.86796980219768,236.48114634623442,236.72056579589844,41153600
236.37142201455794,241.49887076126774,229.63790389196947,241.24948120117188,56833400
241.19958958341564,243.43412542285543,235.53346633482454,237.4487762451172,47184000
237.1295800554318,239.4838181516717,234.10696453181083,235.35391235351562,53798100
234.84515699420854,235.97240266650644,228.67026910680244,235.1643829345703,47227600
233.86756011302523,237.27920752401755,232.59068676229822,234.75538635253906,45170400
234.53591456798168,240.78062356819368,234.1867631010968,238.4862518310547,46273600
234.96486230654432,235.583358769024,223.6725108894593,226.92454528808594,72071200
223.26349982428485,225.28854176632854,216.91902902029437,220.30075073242188,76137400
219.60246770742089,221.20853706339403,214.38524243690583,216.45018005371094,62547500
215.42269353923288,216.31051974194543,207.9110813961123,209.16799926757812,61368300
210.73416839029963,213.4275724686152,209.06824803363213,212.9687042236328,60107600
212.78914514941675,214.69448503570536,209.4573042902151,213.4774627685547,48073400
213.6370814211214,214.624654360469,210.97360268345204,212.17066955566406,42432400
213.6969181399133,218.22582565599035,213.22806456968678,214.7144317626953,54385400
213.46749271646212,216.9589465476154,211.70181037410745,213.5772247314453,48862900
211.0434226778215,218.30564558008663,210.76410758323678,217.73704528808594,94127800
220.460369765545,220.93919345594836,218.04628066528426,220.19102478027344,44299500
220.23093972638688,223.55281053469957,219.54262209652958,223.2036590576172,34493600
222.9642357514217,224.47055842890478,219.93166541277708,220.98907470703125,34466100
220.84942102067788,224.4406368200556,220.02144584411215,223.3034210205078,37094800
221.12873402087155,223.26350805320467,217.1484711493609,217.36793518066406,39818600
216.48010744476517,225.06908447075043,215.7020132379398,221.58761596679688,65299300
