ETHA,ETHA,ETHA,ETHA,ETHA
Open,High,Low,Close,Volume
25.416000366210938,25.63800048828125,24.260000228881836,24.84000015258789,9094900
24.760000228881836,25.18000030517578,24.197999954223633,24.690000534057617,7317100
23.030000686645508,23.5,22.040000915527344,23.399999618530273,11445400
24.364999771118164,24.520000457763672,24.020000457763672,24.420000076293945,5022900
24.93000030517578,26.360000610351562,24.850000381469727,26.049999237060547,10220600
25.350000381469727,25.510000228881836,24.72100067138672,25.290000915527344,7001200
26.0,26.770000457763672,25.809999465942383,26.690000534057617,7869500
25.260000228881836,25.53499984741211,24.725000381469727,25.100000381469727,12259200
25.020000457763672,25.100000381469727,24.530000686645508,24.649999618530273,7044600
24.479999542236328,25.014999389648438,24.204999923706055,24.59000015258789,12371300
25.780000686645508,25.969999313354492,25.219999313354492,25.25,7526100
23.5,23.8799991607666,23.049999237060547,23.790000915527344,8786800
