KO,KO,KO,KO,KO
59.658272710462775,60.42124005934793,59.599581479239845,60.362548828125,14412400
60.235384954209835,60.303856185762925,59.403942707433,59.73651885986328,22425000
59.795213581279825,60.49948968005031,59.38438243654477,60.30385971069336,18016200
60.31363723831825,60.71468462926497,59.96149733770117,60.685340881347656,16658300
60.969007707651805,61.2526726355565,60.3331991583642,60.421234130859375,16187200
60.07887994313901,60.93966600789439,59.98106495615882,60.8907585144043,12585500
60.94944603080199,61.399400913731945,60.812499833412474,61.3407096862793,17948900
61.52655968215755,61.84935208527148,60.93965863705621,61.057037353515625,19817100
60.76359116764291,60.92988110984128,60.31363629341577,60.43101501464844,18191900
60.45057876780906,60.62664871539141,60.0299676409626,60.18647384643555,16528400
60.37232886916074,60.65599380752992,60.09844020495958,60.56795883178711,19244600
