SPY,SPY,SPY,SPY,SPY
Open,High,Low,Close,Volume
572.3511203282558,578.2955919136582,571.9335705869851,577.937744140625,47910100
580.8900687914388,581.526283047168,574.9157463297618,578.7329711914062,48420600
586.8246676759398,590.4132171193324,585.7013727042602,589.2601318359375,56900200
590.6418375533192,590.8207614434976,587.4210861846398,588.1268920898438,43319700
593.4153025943957,595.8010151082805,592.0732824246488,594.0316162109375,58070600
597.1032436422324,599.4790665392256,595.1151195120758,599.4691162109375,42532900
602.3220575789143,604.2107997343253,601.7653852603825,602.8389892578125,48196000
602.2027762737087,606.1293334960938,601.9244704502144,606.1293334960938,41152100
606.1889641125276,607.1532358314879,603.1968276944665,604.35986328125,34604700
591.2781141094356,596.1291423298717,591.1091405297034,595.81103515625,70361100
597.0535535930056,601.7753484093994,593.7035692823513,600.930419921875,44433300
600.1351431494525,600.5427425880405,595.661863690058,598.2365112304688,37177400
600.3737832488266,602.9980611492583,597.1529709966264,601.4473266601562,39281300
603.8927254049834,606.3381400117711,597.4810127290995,598.2464599609375,66566900
589.1507669136772,596.7255152502233,586.9837188197341,594.2205200195312,65857200
594.2801079680467,598.7235360264071,593.7333859975146,598.2066650390625,33457800
597.0734426682163,600.7812746894733,595.0256772776311,600.6321411132812,30653100
602.3916690883134,602.8489594864907,599.051635066865,602.7197265625,35771500
603.2863528555321,604.518980132331,596.4869415034437,597.2026977539062,50788500
600.4433453406357,601.904587470542,599.1609664310816,601.2584228515625,26048700
598.9721380280099,602.2624813268295,598.8528554234945,601.7157592773438,30056700
595.6420111533067,600.9602190183091,594.9561058904112,599.7772827148438,45076100
600.8906102579848,606.3182109084269,599.6182423802287,606.1094360351562,40921300
606.3182160659691,607.3619690957353,605.4533869264999,606.0796508789062,26910400
607.2526454845143,607.8590087890625,604.767490295972,607.8590087890625,26749000
606.4574136362269,609.5886727994638,605.9404819368957,609.2904663085938,31011100
607.9087005473524,608.0478837995475,603.415581218095,606.755615234375,36554000
606.5369101497928,606.6760934066054,595.9103837703437,596.3776245117188,76519800
598.4452543900395,599.4492667675623,592.948062133992,593.663818359375,50737200
593.6041803376665,594.3397765506367,586.0592226451632,590.71142578125,58266500
592.3914043988187,596.0197552375269,588.3455644774521,591.0096435546875,43321600
593.3059087957712,594.469005075742,581.178400354161,581.5759887695312,74196700
582.0829842300604,591.1885661100836,578.9815154204292,590.6517944335938,88744100
592.6399338326904,593.7930798421835,576.456634439968,580.3036499023438,74249200
576.2677446518286,581.9140099307576,568.8520197647429,573.4346313476562,109648200
573.2656687004999,581.4070396387077,569.6771191196135,579.5978393554688,71230500
572.0628369267654,576.7249905948024,566.7346786412188,569.309326171875,80094900
567.5100330091421,573.9614858286079,562.2713067344182,572.5001831054688,81158800
564.2197277241329,566.1581002592635,552.2909826575575,557.2513427734375,99326600
556.0783347089355,560.6708965233902,548.7421519304726,552.6189575195312,88102100
558.8319066604055,559.7663275163131,550.4022789715292,555.551513671875,69588200
555.1737170498407,555.7900306808465,546.4160326198083,548.1456909179688,74079400
552.807850521361,560.4820413534102,548.2152885508418,559.4680786132812,62660300
559.448191732102,566.3271452015323,559.0108019778189,563.7823486328125,49008700
561.4462437696595,561.6649689744013,555.7403372080155,557.688720703125,66041400
559.4879962192153,567.5597757254244,558.2951095487034,563.762451171875,66556000
559.9849937730086,567.1819933351081,559.2592872162537,562.1321411132812,62958200
557.6315290750271,563.2249787707245,556.3852134999472,562.317626953125,83763000
569.117517223541,573.4547318251052,568.5193101051706,572.3878784179688,58766800
