NIO,NIO,NIO,NIO,NIO
Open,High,Low,Close,Volume
4.25,4.269999980926514,4.159999847412109,4.170000076293945,41829000
4.119999885559082,4.119999885559082,4.010000228881836,4.059999942779541,36105400
4.139999866485596,4.199999809265137,4.019999980926514,4.079999923706055,32476600
4.110000133514404,4.139999866485596,4.019999980926514,4.099999904632568,32661000
4.099999904632568,4.199999809265137,4.079999923706055,4.159999847412109,28870100
4.210000038146973,4.420000076293945,4.190000057220459,4.360000133514404,50447600
4.349999904632568,4.380000114440918,4.170000076293945,4.179999828338623,38457500
4.170000076293945,4.360000133514404,4.130000114440918,4.28000020980835,39859000
4.21999979019165,4.21999979019165,4.090000152587891,4.130000114440918,33088000
4.190000057220459,4.349999904632568,4.139999866485596,4.289999961853027,40544500
4.320000171661377,4.420000076293945,4.25,4.269999980926514,51189500
