BRK-B,BRK-B,BRK-B,BRK-B,BRK-B
Open,High,Low,Close,Volume
532.6199951171875,535.9199829101562,527.3599853515625,528.1699829101562,4329200
529.2999877929688,530.1300048828125,512.8900146484375,516.4500122070312,5889300
518.9000244140625,523.8800048828125,514.5700073242188,518.2100219726562,5322200
517.530029296875,518.6699829101562,498.0799865722656,506.9200134277344,4908400
514.22998046875,522.219970703125,511.6499938964844,520.7899780273438,4768500
527.5,532.27001953125,523.8900146484375,526.8099975585938,4294500
526.8099975585938,533.1300048828125,523.1599731445312,531.6400146484375,3173400
531.75,532.4400024414062,526.7899780273438,530.9600219726562,2742800
533.6300048828125,536.8200073242188,526.5800170898438,530.9400024414062,4238700
531.0,535.3400268554688,528.2899780273438,534.5700073242188,3177700
531.510009765625,535.719970703125,524.0,533.25,5251600
531.0,533.27001953125,528.2999877929688,530.22998046875,4693100
536.75,542.0700073242188,535.260009765625,539.7999877929688,4945600
520.0800170898438,521.1799926757812,502.79998779296875,512.1500244140625,16380200
509.57000732421875,515.75,507.989990234375,512.3300170898438,6088600
515.02001953125,520.25,513.0,518.219970703125,5573800
520.97998046875,521.260009765625,513.0399780273438,513.25,5018600
514.25,515.9099731445312,510.25,513.739990234375,3621400
520.2999877929688,520.2999877929688,510.25,514.2999877929688,6368000
515.6400146484375,515.75,511.79998779296875,511.8800048828125,4504100
511.8500061035156,511.8500061035156,502.79998779296875,503.3999938964844,6384100
502.3800048828125,509.7799987792969,501.6199951171875,507.3299865722656,5040900
509.6300048828125,514.3300170898438,506.79998779296875,514.3099975585938,4997300
513.6199951171875,513.7899780273438,510.1000061035156,512.3900146484375,3441500
511.1099853515625,512.0800170898438,506.54998779296875,508.739990234375,3737000
507.4100036621094,510.0,505.3999938964844,507.0299987792969,3815800
505.1000061035156,507.3999938964844,502.6400146484375,503.57000732421875,3244800
501.010009765625,505.5,500.25,503.4599914550781,3166800
506.42999267578125,509.75,505.010009765625,509.1600036621094,4928300
508.3900146484375,509.1000061035156,502.8299865722656,503.1099853515625,3613900
504.0,506.54998779296875,501.20001220703125,506.17999267578125,3656000
505.19000244140625,505.7200012207031,500.19000244140625,503.9599914550781,9153100
501.70001220703125,503.2300109863281,499.4700012207031,502.80999755859375,4914000
501.0,502.7900085449219,493.510009765625,497.8299865722656,5923100
496.94000244140625,496.989990234375,490.8800048828125,491.0,5297600
490.75,491.0,485.6000061035156,488.739990234375,5154900
491.6300048828125,496.1000061035156,491.6300048828125,493.5299987792969,3948300
493.70001220703125,494.5299987792969,488.8800048828125,493.3299865722656,3987500
492.6600036621094,492.8999938964844,489.5,491.1300048828125,3951500
491.04998779296875,492.25,486.6700134277344,488.1400146484375,4595900
486.239990234375,490.44000244140625,483.7799987792969,490.3399963378906,3535200
486.2699890136719,491.0799865722656,485.8500061035156,487.5400085449219,4001000
489.7300109863281,491.8500061035156,488.5400085449219,490.2300109863281,3937600
489.1099853515625,489.3999938964844,483.25,483.4800109863281,3956300
484.1000061035156,486.70001220703125,482.75,485.1400146484375,4893600
484.95001220703125,486.67999267578125,483.42999267578125,484.8500061035156,7620400
485.4200134277344,488.5,481.7200012207031,487.7699890136719,4141000
489.42999267578125,497.739990234375,488.8900146484375,493.4800109863281,5111700
494.5,496.0,486.1400146484375,486.2099914550781,4260600
486.5400085449219,487.9800109863281,484.25,485.04998779296875,4212900
