GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Open,High,Low,Close,Volume
165.12181631038618,165.7291386198519,163.18036592990532,164.03659057617188,38604600
165.36074656125817,167.88960271467622,164.88285834642193,166.9138946533203,33135300
166.89400838356315,169.07439539763973,166.844224875264,168.37745666503906,20486700
168.25798309333703,168.73587133599466,167.28229016697128,168.48696899414062,19266500
167.76018498222638,168.6860944381384,166.42607202365048,168.2082061767578,14257200
168.02898676148365,171.32445113236562,167.82986793872016,170.73704528808594,23789100
170.73704276945597,171.9218050645491,170.09985343093683,170.5876922607422,22248700
170.39853725449947,174.14203820088363,170.3089360574109,173.60440063476562,31615100
174.5900470301335,175.2869705000764,171.57335207382965,171.88198852539062,21356200
171.27469092717953,174.31130276071772,171.10543914521764,173.94293212890625,21462400
173.3947185178427,175.68723243233256,173.08571309629525,174.8001251220703,25389600
182.2558148271153,185.75440321939527,180.46166108394456,184.56826782226562,54813000
184.70782161706586,194.97435419169267,184.2493249317854,194.76502990722656,67894100
194.36632666128313,194.54573443162946,191.08702455991943,191.33621215820312,34817500
190.38927563816205,192.10368742772263,189.02373254884577,189.20315551757812,25143500
192.2432425689094,198.3533273175459,191.99405497177682,196.02093505859375,44934900
196.60901291047233,200.76546017959686,194.34638528405358,194.7849578857422,43504000
194.58561039475242,196.35982485436523,187.12992181114345,187.7877655029297,34166100
191.00728679661606,192.40273129322728,187.7678479495074,187.8974151611328,32265200
185.17627005377298,192.2631653156739,184.6180923176282,190.78797912597656,63462900
191.99406521325346,194.46601725929617,189.5320904055188,193.99754333496094,25675000
194.20685520618696,195.4727325439453,193.15030215624884,195.4727325439453,10403300
194.51583613513964,196.11064287242172,193.7483492712215,194.96438598632812,12046600
194.31647638353087,194.68528435280825,190.0304468655215,192.1335906982422,18891400
189.18322257123907,191.92428607864605,188.50542441334892,190.61854553222656,14264700
190.45907478557154,191.33622003458325,187.89741886934635,188.6848602294922,17466900
190.03045932269364,191.37607845803336,186.89070161917323,188.81442260742188,20370800
190.74811471378376,192.58214696582633,189.36263229859958,191.166748046875,18596200
193.34963191613974,197.57585894718454,193.22006471069886,196.23023986816406,29563600
196.4694824542812,200.34684110917007,193.96764429186354,194.85475158691406,26487200
191.94422748738302,195.65212489905696,191.7548424821935,193.31973266601562,24864800
193.66860495961419,195.88139205518456,189.69156540477465,191.4159393310547,26665200
189.4523648405139,190.55874323630746,186.75116443597017,190.38929748535156,21823700
190.61855338184407,191.3561389494114,187.69806677944703,189.04368591308594,17174900
192.462522950062,195.72190087885951,191.23652426846428,194.91453552246094,21776000
193.50912558690098,194.84476749712078,192.18344570554987,192.2831268310547,17815400
195.89134409308565,196.58906629276984,193.1203793506233,195.36306762695312,27735100
198.4231075033933,201.63262976778796,197.22699486763423,197.4064178466797,29971300
198.41313252508547,199.82851627036754,196.88810562725033,197.72537231445312,26200600
197.49612311807823,199.64910762651434,194.5656745164631,197.33663940429688,26951400
197.45625853253006,200.24714745985025,197.35657740975262,199.5594024658203,23877500
191.78474760627742,196.24022309921364,190.11019902992624,191.1866912841797,41728900
192.1236428916819,194.84476727172617,190.06036222791346,194.6653594970703,24157900
194.92450036864417,196.15049906796548,192.80141720875304,194.77499389648438,18218300
197.35657072172015,200.74551585245214,197.02764127874622,200.2172393798828,24354700
201.34358503753182,204.8122722439576,201.14423799517712,203.35702514648438,32001100
200.03784179405181,203.08789560873984,199.4497627036024,200.57608032226562,27838300
202.7290614411804,206.37717152288226,202.1509443892273,205.7093505859375,43856400
190.4491175677977,192.12365103908184,187.41898765422886,190.70826721191406,70373900
188.88418941826902,191.47574638578936,188.10672536985356,190.9773712158203,29297400
190.42916818748597,190.5587353980611,182.64454994685505,184.7377166748047,49315000
186.74118938897723,187.58841808469597,185.2560258505473,185.86404418945312,23105600
184.42873780232077,186.332534845636,183.6811749516247,184.71780395507812,21239500
182.62461937179498,184.5084771212101,181.23913684930665,183.0133514404297,22072600
183.72104784589166,185.6746701852319,182.54487442146038,185.53512573242188,21402500
184.45862127858567,185.79426312591357,183.7210357377169,184.62806701660156,20448400
184.9968606492489,185.35569136345538,181.1494039060581,183.1728057861328,29916700
183.47185603605197,184.85733850337527,182.99340488662492,184.66795349121094,19549400
184.1994764251086,184.7078136523139,182.12623377404523,183.9602508544922,20441500
184.54832157311532,184.73770657345142,178.49805484578573,179.076171875,35199200
181.3986125849473,182.52493020594952,178.30868023037235,178.66751098632812,29854200
177.4614416125168,178.15917908775072,174.12233676466118,174.84996032714844,41913400
174.50109332110333,175.50780571224857,171.0224290795126,172.16868591308594,35431300
173.42461914994175,173.99275900708727,167.39427578548737,167.95245361328125,39991000
168.13183224034952,170.05556821596952,166.22805073838262,169.7266387939453,48130600
171.37129548555112,172.80661854958163,165.39079285822712,166.46728515625,40770500
