JD,JD,JD,JD,JD
Open,High,Low,Close,Volume
34.17255554943514,34.73594424359669,34.09484471964385,34.36682891845703,9256800
34.19392533220261,34.3862570444577,33.55088414131472,33.68687438964844,10254600
33.29832688464605,33.65773391039385,33.05548610233572,33.5217399597168,10780500
34.20169395263271,34.48339014169122,33.73544010804768,34.318260192871094,12297200
35.64902652645578,36.24155861058414,35.522748285873625,36.12499237060547,15475000
36.095853978089046,36.338694762038905,35.70730724158675,36.30955505371094,6108800
36.91179772718573,37.00796172529925,36.17356340304272,36.396976470947266,7745100
36.0181469514022,36.5329682290212,35.89089787632652,36.03757095336914,5056500
35.42561267702782,35.517889649823076,34.53195671750682,34.70680236816406,14240200
35.39161801964508,35.687884079472084,35.27019762481291,35.367332458496094,8938800
36.54267857899979,36.89236988590653,36.09585244482169,36.11528015136719,11390600
39.456770123989756,41.506346963805214,39.35963529115133,40.088157653808594,33201100
38.65053905619337,39.00120119837197,38.21342491537612,38.43198013305664,10131300
37.19834866677514,37.35862446987207,36.76609237754248,37.11578369140625,11369600
36.33869511222817,37.028362055982456,35.95014837198152,37.01865005493164,9606800
36.34355403318675,36.43583101497759,35.85787244633819,36.22213363647461,7498100
35.687884412056114,35.92100949725085,35.43532791339599,35.65874099731445,6836000
35.576175701044015,36.440688319745846,35.42852808585382,36.20270538330078,5980700
35.911294065629974,36.396975603091214,35.270194584399384,35.39646911621094,6149700
35.51303651894305,35.678166468481805,34.86222131054304,34.881649017333984,7279600
34.38139802441981,34.84765187665127,34.04627656278686,34.619380950927734,12467900
34.75537327371586,35.32847769613989,34.64852273141464,35.250770568847656,7293300
35.377041956478266,35.445040781792706,35.13905903697416,35.415897369384766,2140800
35.15363159123268,35.571318048427266,35.03221119566347,35.09535217285156,4576000
34.19198400964128,34.25026342781149,33.6771590145806,33.9782829284668,6635700
33.65773489050338,33.686874599483154,33.06520277153871,33.278900146484375,12576800
33.86171972419147,34.230838755692304,33.48774283945269,33.67715835571289,6339100
33.14290913632458,33.82286407207284,33.113769428013875,33.249759674072266,6379800
33.67715720239703,34.3474001189395,33.67715720239703,34.327972412109375,7170500
34.62909861801142,34.930218830309116,33.93457380072955,34.13370132446289,8641700
33.87143238787955,34.289118843562555,33.87143238787955,33.9782829284668,7231800
33.628588550722334,33.86171731864986,33.31289481089683,33.72572708129883,5986000
32.61351840095072,32.647515962876774,31.84128277226418,32.15211868286133,12721100
32.045271965513784,32.63780037473763,32.045271965513784,32.433815002441406,7485900
34.09484293384881,34.3279717055557,33.68687221518191,33.745155334472656,9069300
34.67766449617064,34.67766449617064,34.23569249322219,34.357112884521484,6495400
34.677665816685185,34.910790901801654,34.36682989955896,34.40568161010742,6110700
36.29984045495393,38.11629224225479,36.14442249670183,37.88316345214844,28484000
38.8836643945081,39.068225758262095,37.300345181451966,37.39748001098633,16565000
38.02886875596987,38.269764178576374,37.562611183765526,37.999725341796875,12974900
37.74717287021669,37.78602828580243,37.207095192126495,37.59175491333008,7291500
38.6651111156371,39.61218872022054,38.44169803213169,39.55390930175781,11759000
