JNJ,JNJ,JNJ,JNJ,JNJ
Open,High,Low,Close,Volume
147.796846384,150.5504532313688,147.3964945868191,149.876708984375,9645000
150.19894725733027,151.0875137225951,149.70094357614224,151.0484619140625,8947000
151.1461067667632,151.19493270466268,149.76931067533755,149.896240234375,7418100
149.9157478808667,150.85315506919696,149.20293698844182,149.51539611816406,6204900
149.99388057429417,150.7359841147051,148.70494743088318,150.6090545654297,6936200
150.48210783341645,152.70843332045408,150.31611157951082,152.45455932617188,7554500
151.61480037131824,151.99561880359397,150.63834132450023,151.6050262451172,7746000
151.60504342740126,154.40749134110297,151.14610643141617,153.54820251464844,10704700
153.58723804292384,153.76300842042124,152.38619757842548,152.4740753173828,6411800
151.71618596030854,153.0055841307649,150.83034424561512,152.55282592773438,9670700
152.56267154540734,155.81078304014392,152.31660272033412,155.4072265625,7974700
154.48200010991016,157.43482591010795,154.48200010991016,157.1690673828125,7224000
157.36593468160243,160.93884369225492,156.77536351315888,159.7478790283203,12546900
160.12189302919066,162.2774582642801,159.50180982456192,161.1652374267578,10201900
161.51957336311918,163.81292146242848,161.3620857197358,163.478271484375,12303700
162.48417568920453,162.53339246020462,160.00379761552887,160.515625,11396400
159.75772634206254,161.37193728182936,159.18684484864082,161.1553955078125,8364600
161.72626781069508,163.33064131277897,160.1415840193619,162.42510986328125,12037200
162.36605582427373,164.6987834178655,162.24793257856425,164.64956665039062,9191500
165.43699302213946,167.31696243598003,162.72039862069772,162.81881713867188,11999700
161.92312053256515,163.8424693392176,160.9585349656675,162.52352905273438,8744800
162.40541607413067,163.2617307346719,160.9388405464334,163.2223663330078,8037900
162.53338063341513,165.81101909470436,162.11013445623186,164.06884765625,9637600
164.8464160054029,167.2283603275132,164.42318485350802,165.06295776367188,17559000
164.57081730839613,164.66925084004558,162.4546315475673,163.25189208984375,9890300
161.15538235319616,161.6278452864034,159.67896947933244,160.2892303466797,8010700
160.86010097584764,161.95264713179483,160.10221982770813,160.42703247070312,5286700
159.57069510200913,160.58449738498982,158.5667451833678,160.24984741210938,6235800
159.85615725202484,160.92901373909496,159.18684222911867,160.27938842773438,6669800
160.8699604643387,162.26762961439613,160.40734986311938,161.66722106933594,7348800
161.39161803487536,161.77548479135146,159.6592989577509,160.42703247070312,5936400
160.43686851692192,160.6337205665472,159.38368677221132,160.45655822753906,7485900
160.43686285721958,161.54909867569677,159.9250355311706,161.0569610595703,17047100
160.2793844216669,161.80501412305765,159.94473442800285,160.72230529785156,8046400
160.94869474212788,161.60815736415475,158.0352333638426,158.48800659179688,7456200
158.67501174865177,159.93488280432192,158.11396767508032,159.17698669433594,7223500
159.79710106175781,161.4900557803169,158.78329870363626,160.56483459472656,6752500
161.0175884242576,161.93297223862385,160.34828844717157,161.13571166992188,5760300
161.785322393975,164.00979413095163,161.6475244560175,163.23220825195312,12481400
158.20256998380086,159.2655891451383,150.72208646828307,150.84019470214844,23303100
151.58822981644346,153.340238605828,151.0370380650212,152.91700744628906,10356900
156.25370299153215,158.12382004341873,155.00366916232215,157.306884765625,13249300
156.65726077256477,157.30688607683038,150.52521482355166,150.83035278320312,16601700
148.90116644134844,150.3086879325969,145.0821734646776,148.2515411376953,18083000
151.1748411423837,151.1748411423837,145.67274576822916,147.64129638671875,12018400
139.963940489085,150.78113112081058,139.2749508033681,148.59603881835938,18773700
148.00547350450657,148.82242381376955,142.84788049405753,146.35189819335938,13830500
146.9818310025748,149.95434658657715,145.85975777162477,149.34408569335938,9943900
149.20627742646687,152.23784691508953,148.79288363513396,151.93272399902344,10685300
153.2516707747918,153.8422419992049,149.70828848486343,151.20437622070312,10847700
152.92684058142436,153.1827617581442,149.846069265872,151.48980712890625,7986900
151.73588655128893,156.93285902621403,151.73588655128893,154.99383544921875,10981100
155.47612353231503,155.74186703356756,153.04496248779415,154.4524688720703,6285400
155.07257238749074,156.22417265554913,153.8028488737618,155.26942443847656,7136300
154.02923739909724,154.62964589502218,151.90319928052554,152.9366912841797,9099400
153.35008884615775,153.4485073610632,151.02719862673862,152.49375915527344,8310400
151.89337056377,152.46423701764508,150.0527655513587,152.14927673339844,8643600
153.05480080675625,153.35992373010768,151.40122560194268,152.90716552734375,5815200
153.00558553860344,154.5509048995422,151.8638226371409,153.45835876464844,5246700
155.71234571154775,155.71234571154775,152.58235754186757,153.85206604003906,9598200
152.5626757746532,152.65125694961137,150.9484648381786,152.0311737060547,7325800
153.61585257159533,154.2556255061051,152.60203519992965,153.66505432128906,5974500
154.20640575605626,154.32451398319625,152.29690931676586,152.5626678466797,5464100
152.38550271418956,153.44850677667245,151.27326686616857,152.04100036621094,8644200
152.30676520541624,155.45644315909516,152.0705337268219,154.82650756835938,7853100
153.3697831834446,154.5607478760147,152.34612846937628,153.21229553222656,7606100
152.97606448353199,153.60600007131816,151.39138065848175,151.79493713378906,6520400
149.6295277982423,152.91700353065133,148.8027251734314,151.7161865234375,9023800
149.314551592555,149.314551592555,145.75148001336103,146.10581970214844,10549600
