COIN,COIN,COIN,COIN,COIN
Open,High,Low,Close,Volume
266.8699951171875,278.32000732421875,264.44000244140625,274.92999267578125,9113900
274.0,285.0199890136719,268.1400146484375,281.6300048828125,6751100
292.0,300.3500061035156,289.3299865722656,295.4800109863281,11290100
298.5199890136719,303.1000061035156,273.6199951171875,294.19000244140625,12912400
290.4599914550781,298.79998779296875,286.2799987792969,295.8500061035156,6668900
289.739990234375,303.55999755859375,287.8999938964844,296.010009765625,11534800
300.0,310.6099853515625,297.6199951171875,298.0,9763300
283.70001220703125,289.7799987792969,265.20001220703125,277.989990234375,12238800
280.5,284.8399963378906,276.0,281.82000732421875,4516600
281.82000732421875,294.3800048828125,277.010009765625,291.0,6255900
293.7099914550781,306.0,293.0199890136719,301.29998779296875,8637500
300.8599853515625,304.7300109863281,287.2200012207031,291.3299865722656,6514500
272.9800109863281,288.760009765625,269.29998779296875,284.4100036621094,9517700
