B,B,B,B,B
Open,High,Low,Close,Volume
17.31004367795216,17.448523423649366,17.181455612182617,17.181455612182617,18496900
17.181455213210757,17.35949978783919,16.62753246999454,16.766014099121094,29851100
16.68688182499314,16.76601337250242,16.449485295820388,16.587966918945312,20821100
16.87481846290162,17.260586416778764,16.864926783402723,16.894601821899414,19111900
17.092432515401487,17.1616723888007,16.934169408590414,16.953950881958008,16378000
16.99351679837409,17.478197775893474,16.92427692824917,17.438631057739258,15887700
17.09243008257636,17.300149673208548,16.96384014744186,16.983623504638672,12344400
16.78579467322004,16.874817899090765,16.54840003311307,16.597858428955078,13364300
16.479159908745675,16.51872662480262,16.12306701081261,16.17252540588379,19496400
15.984587250443276,16.152742020106704,15.935130742101917,16.063718795776367,17027100
15.915347513422638,16.004370738476304,15.282294202291801,15.341643333435059,25106600
15.371318428633517,15.499907435051497,14.945985633814232,15.064682960510254,24976800
15.133923636252662,15.470233197130664,14.995442951384517,15.292186737060547,27211100
15.163597408522385,15.440557829031146,15.143814993004423,15.420775413513184,15753500
15.430666937397808,15.539472579956055,15.331752030837613,15.539472579956055,9982100
15.539472062659788,15.658169380587209,15.470232196366066,15.569146156311035,9676800
15.391100731380064,15.598821274667385,15.292185827596604,15.509798049926758,13640400
15.331752512262518,15.381209967095606,15.143815315883778,15.292186737060547,17032600
15.222946182339001,15.371317596849622,15.203162823965613,15.331751823425293,13717900
15.588930333417327,15.885673172167085,15.569146974395355,15.796650886535645,12590300
15.727409444456748,15.816432669851277,15.668061256408691,15.668061256408691,11345400
15.707627142617639,15.766975331092908,15.331751823425293,15.331751823425293,13382500
15.470233207635989,15.747193634237863,15.31196916339814,15.400992393493652,19091100
15.430666617571575,15.7175187086637,15.371317486201075,15.668061256408691,23670700
15.915347730937556,16.06371914583983,15.50979831643705,15.54936408996582,19668100
15.242729451409662,15.400992553974142,15.143815483968112,15.282295227050781,15950700
15.183380934272348,15.529581227883432,15.14381515947901,15.410883903503418,17325200
15.628495483269171,15.766975217596269,15.450449032480114,15.668061256408691,15353900
15.747193398025942,15.786759172661284,15.539472845359775,15.579038619995117,14346100
15.55925478478457,16.231873876320606,15.41088337027395,15.826324462890625,15380400
15.776867347998257,16.04393608849872,15.697735799455716,15.806541442871094,17582500
15.925240483124563,15.954913636117327,15.559255874171908,15.598822593688965,18224400
15.43066695107972,15.757084822366341,15.302077949766435,15.64827823638916,27101200
15.895563998433687,16.380244948585492,15.77686668064074,15.954912185668945,22369400
15.697735382311139,15.915347606681635,15.539472289431666,15.885672569274902,28150400
15.885673342730337,16.063719802549844,15.737301921762405,15.786759376525879,16978800
15.707627826233317,15.954913213405707,15.52958136641381,15.786759376525879,20227200
16.063720726535625,16.637424970817428,16.02415589243606,16.390138626098633,28856600
16.587966144989252,16.67698936761419,16.162633389480067,16.19230842590332,25835200
16.24176547411031,16.52861662250728,16.152742248521108,16.380245208740234,15212400
16.41981178309063,16.627531383236633,16.28133016301509,16.498943328857422,19162100
16.66709766734795,17.052863707129465,16.66709766734795,16.96384048461914,32320800
16.953950203555017,17.04297343340466,16.855037180739835,16.99351692199707,19593100
17.151780539896382,17.30015196524008,16.736339416947004,16.855037689208984,28469800
17.3199341428938,17.47819723734424,17.122104331508293,17.250694274902344,25567700
17.15178000110584,17.18145503990041,16.874818632291458,16.88471031188965,26961200
17.15177832366221,18.29918663180603,17.04297174536838,17.972768783569336,40633500
18.02222826862885,18.328864696926857,17.844183683783523,18.23984146118164,34918900
18.289297048550086,18.318972087842255,17.725484508513876,17.745267868041992,29073000
18.13103243693197,18.220055660755857,17.863962765460318,18.160707473754883,25415300
18.09146988492152,18.843218712606713,17.943096568776593,18.57615089416504,39808100
18.645390066295366,18.952024593927575,18.54647515480739,18.61571502685547,25507100
18.48712636741585,18.566257916729743,18.071685261856675,18.10135841369629,29781900
18.2695137267705,18.28929708633949,17.913422687753723,18.071685791015625,23467900
17.95298714077868,18.012335331586215,17.53754603183601,17.873855590820312,29557300
17.794723256650574,18.338754289453316,17.715591710179527,18.249731063842773,32154000
17.952986231347435,17.9925529476448,17.577111859746825,17.596895217895508,28898900
17.2686331875337,17.67647516466374,17.189054311442714,17.656579971313477,35394800
17.945053491101255,18.084316041459573,17.507368750576603,17.596895217895508,22339100
17.905263830537073,17.93510661995291,17.38800019785604,17.63668441772461,24962600
17.88536743770515,18.38273584407499,17.775947678474513,18.36284065246582,23787300
18.233525701626018,18.681158026282834,18.163894428303824,18.36284065246582,22062100
18.273316693691868,18.780630815459563,18.20368352073967,18.502105712890625,25565700
18.402632109563132,18.58168504987443,17.96494735516996,18.104211807250977,26322200
18.293210159321326,18.581684758027592,18.124104818051098,18.352895736694336,20367500
18.293209134025105,18.40263078909945,18.034577338501116,18.243473052978516,19500300
