PLTR,PLTR,PLTR,PLTR,PLTR
Open,High,Low,Close,Volume
68.12000274658203,69.52999877929688,66.51000213623047,68.2300033569336,91349500
66.01000213623047,68.19999694824219,65.04000091552734,67.26000213623047,78148600
64.29000091552734,65.68000030517578,63.400001525878906,64.9800033569336,69046300
67.18000030517578,68.2300033569336,65.19000244140625,65.91000366210938,56814900
68.55000305175781,68.8499984741211,67.08000183105469,68.13999938964844,56025800
69.08000183105469,71.43000030517578,68.36000061035156,69.23999786376953,62908700
70.9000015258789,72.33999633789062,69.94999694824219,71.7699966430664,54754000
73.23999786376953,73.63600158691406,70.60099792480469,73.06999969482422,56229000
74.5,77.16000366210938,73.80000305175781,76.87000274658203,66876400
76.04000091552734,79.0,75.83999633789062,78.9800033569336,55937900
79.05000305175781,82.23999786376953,78.44000244140625,78.9800033569336,77931900
74.06999969482422,76.72000122070312,72.66999816894531,75.44000244140625,76093300
