AMZN,AMZN,AMZN,AMZN,AMZN
Open,High,Low,Close,Volume
218.05999755859375,219.39999389648438,216.47000122070312,218.4600067138672,27262700
220.44000244140625,221.82000732421875,216.1999969482422,217.75999450683594,24711700
222.8300018310547,223.57000732421875,220.75,223.35000610351562,31291300
224.4199981689453,224.64999389648438,220.30999755859375,220.66000366210938,24757300
225.83999633789062,226.50999450683594,223.0800018310547,225.94000244140625,42370100
228.89999389648438,231.77999877929688,226.94000244140625,230.7100067138672,39951500
232.02000427246094,235.44000244140625,231.19000244140625,235.00999450683594,41448200
234.10000610351562,235.52000427246094,231.50999450683594,235.4199981689453,26404400
234.5,236.39999389648438,232.92999267578125,234.85000610351562,25890700
226.2100067138672,235.61000061035156,225.86000061035156,235.4199981689453,49428300
234.2899932861328,241.77000427246094,233.97999572753906,238.14999389648438,41587200
