JMIA,JMIA,JMIA,JMIA,JMIA
Open,High,Low,Close,Volume
4.019999980926514,4.039999961853027,3.8350000381469727,3.869999885559082,3284200
3.819999933242798,3.8399999141693115,3.7100000381469727,3.8299999237060547,3025200
3.7300000190734863,3.7300000190734863,3.5999999046325684,3.7100000381469727,2315200
3.7699999809265137,3.8299999237060547,3.625,3.6500000953674316,1634400
3.759999990463257,3.881999969482422,3.744999885559082,3.7799999713897705,2251900
3.799999952316284,3.8399999141693115,3.7300000190734863,3.740000009536743,1562200
3.7899999618530273,3.8499999046325684,3.680000066757202,3.700000047683716,1662100
3.809999942779541,3.890000104904175,3.7300000190734863,3.819999933242798,1602100
3.8499999046325684,3.990000009536743,3.7799999713897705,3.8399999141693115,1952400
3.825000047683716,3.9700000286102295,3.740000009536743,3.940000057220459,1972800
